"Subject" "Condition" "Block" "TB" "TrialNum" "Trial" "Lat"
386 "S2" "T" "1" "4" "1" "2" 456.538
387 "S2" "T" "1" "49" "1" "3" 364.231
388 "S2" "T" "1" "18" "1" "4" 364.231
389 "S2" "T" "1" "63" "1" "5" 464.231
390 "S2" "T" "1" "5" "1" "6" 279.615
391 "S2" "T" "1" "6" "1" "7" 425.769
392 "S2" "T" "1" "51" "1" "8" 402.692
393 "S2" "T" "1" "50" "1" "9" 310.385
394 "S2" "T" "1" "9" "1" "10" 395.000
395 "S2" "T" "1" "4" "2" "11" 325.769
396 "S2" "T" "1" "0" "1" "12" 410.385
397 "S2" "T" "1" "0" "2" "13" 379.615
398 "S2" "T" "1" "9" "2" "14" 402.692
399 "S2" "T" "1" "2" "1" "15" 348.846
400 "S2" "T" "1" "23" "1" "16" 371.923
401 "S2" "T" "1" "4" "3" "17" 341.154
402 "S2" "T" "1" "22" "1" "18" 464.231
403 "S2" "T" "1" "15" "1" "19" 395.000
404 "S2" "T" "1" "8" "1" "20" 295.000
405 "S2" "T" "1" "3" "1" "21" 310.385
406 "S2" "T" "1" "61" "1" "22" 402.692
407 "S2" "T" "1" "3" "2" "23" 441.154
408 "S2" "T" "1" "52" "1" "24" 379.615
409 "S2" "T" "1" "62" "1" "25" 271.923
410 "S2" "T" "1" "17" "1" "26" 318.077
411 "S2" "T" "1" "1" "1" "27" 402.692
412 "S2" "T" "1" "1" "2" "28" 395.000
413 "S2" "T" "1" "7" "2" "29" 410.385
414 "S2" "T" "1" "57" "1" "30" 364.231
415 "S2" "T" "1" "6" "2" "31" 341.154
416 "S2" "T" "1" "53" "1" "32" 279.615
417 "S2" "T" "1" "13" "1" "33" 325.769
418 "S2" "T" "1" "48" "1" "34" 310.385
419 "S2" "T" "1" "20" "1" "35" 379.615
420 "S2" "T" "1" "11" "1" "36" 333.462
421 "S2" "T" "1" "13" "2" "37" 479.615
422 "S2" "T" "1" "56" "1" "38" 371.923
423 "S2" "T" "1" "58" "1" "39" 379.615
424 "S2" "T" "1" "6" "3" "40" 441.154
425 "S2" "T" "1" "54" "1" "41" 348.846
426 "S2" "T" "1" "19" "1" "42" 402.692
427 "S2" "T" "1" "56" "2" "43" 418.077
428 "S2" "T" "1" "14" "1" "44" 295.000
429 "S2" "T" "1" "11" "2" "45" 356.538
430 "S2" "T" "1" "55" "1" "46" 441.154
431 "S2" "T" "1" "59" "1" "47" 325.769
432 "S2" "T" "1" "60" "1" "48" 325.769
433 "S2" "T" "1" "12" "1" "49" 356.538
434 "S2" "T" "1" "16" "1" "50" 295.000
435 "S2" "T" "1" "3" "3" "51" 341.154
436 "S2" "T" "1" "5" "2" "52" 379.615
437 "S2" "T" "1" "7" "3" "53" 341.154
438 "S2" "T" "1" "21" "1" "54" 295.000
439 "S2" "T" "1" "62" "2" "55" 364.231
440 "S2" "T" "1" "0" "3" "56" 318.077
441 "S2" "T" "1" "5" "3" "57" 418.077
442 "S2" "T" "1" "2" "2" "58" 402.692
443 "S2" "T" "1" "2" "3" "59" 271.923
444 "S2" "T" "1" "1" "3" "60" 356.538
445 "S2" "T" "1" "58" "2" "61" 302.692
446 "S2" "T" "1" "15" "2" "62" 348.846
447 "S2" "T" "1" "10" "1" "63" 341.154
448 "S2" "T" "1" "60" "2" "64" 379.615
449 "S2" "T" "1" "9" "3" "65" 348.846
450 "S2" "T" "1" "60" "3" "66" 402.692
451 "S2" "T" "1" "12" "2" "67" 295.000
452 "S2" "T" "1" "22" "2" "68" 287.308
453 "S2" "T" "1" "58" "3" "69" 325.769
454 "S2" "T" "1" "3" "4" "70" 325.769
455 "S2" "T" "1" "21" "2" "71" 356.538
456 "S2" "T" "1" "15" "3" "72" 364.231
457 "S2" "T" "1" "62" "3" "73" 402.692
458 "S2" "T" "1" "60" "4" "74" 287.308
459 "S2" "T" "1" "57" "2" "75" 341.154
460 "S2" "T" "1" "55" "2" "76" 371.923
461 "S2" "T" "1" "4" "4" "77" 425.769
462 "S2" "T" "1" "51" "2" "78" 364.231
463 "S2" "T" "1" "62" "4" "79" 333.462
464 "S2" "T" "1" "6" "4" "80" 379.615
465 "S2" "T" "1" "8" "2" "81" 371.923
466 "S2" "T" "1" "7" "4" "82" 302.692
467 "S2" "T" "1" "6" "5" "83" 433.462
468 "S2" "T" "1" "56" "3" "84" 410.385
469 "S2" "T" "1" "19" "2" "85" 387.308
470 "S2" "T" "1" "54" "2" "86" 379.615
471 "S2" "T" "1" "0" "4" "87" 364.231
472 "S2" "T" "1" "18" "2" "88" 364.231
473 "S2" "T" "1" "2" "4" "89" 356.538
474 "S2" "T" "1" "61" "2" "90" 379.615
475 "S2" "T" "1" "11" "3" "91" 325.769
476 "S2" "T" "1" "9" "4" "92" 318.077
477 "S2" "T" "1" "3" "5" "93" 395.000
478 "S2" "T" "1" "6" "6" "94" 348.846
479 "S2" "T" "1" "50" "2" "95" 402.692
480 "S2" "T" "1" "7" "5" "96" 402.692
481 "S2" "T" "1" "3" "6" "97" 364.231
482 "S2" "T" "1" "56" "4" "98" 395.000
483 "S2" "T" "1" "4" "5" "99" 371.923
484 "S2" "T" "1" "2" "5" "100" 364.231
485 "S2" "T" "1" "16" "2" "101" 341.154
486 "S2" "T" "1" "5" "4" "102" 356.538
487 "S2" "T" "1" "5" "5" "103" 371.923
488 "S2" "T" "1" "0" "5" "104" 295.000
489 "S2" "T" "1" "48" "2" "105" 348.846
490 "S2" "T" "1" "53" "2" "106" 364.231
491 "S2" "T" "1" "59" "2" "107" 333.462
492 "S2" "T" "1" "7" "6" "108" 371.923
493 "S2" "T" "1" "20" "2" "109" 356.538
494 "S2" "T" "1" "13" "3" "110" 295.000
495 "S2" "T" "1" "15" "4" "111" 371.923
496 "S2" "T" "1" "0" "6" "112" 341.154
497 "S2" "T" "1" "11" "4" "113" 318.077
498 "S2" "T" "1" "4" "6" "114" 364.231
499 "S2" "T" "1" "13" "4" "115" 371.923
500 "S2" "T" "1" "1" "4" "116" 371.923
501 "S2" "T" "1" "2" "6" "117" 310.385
502 "S2" "T" "1" "23" "2" "118" 310.385
503 "S2" "T" "1" "52" "2" "119" 371.923
