"PDist" "Block" "Cond" "TB" "Subj"
236 0.02357 "2" "1" "56" "S1"
237 0.04144 "2" "1" "57" "S1"
238 0.04426 "2" "1" "57" "S1"
239 0.04040 "2" "1" "57" "S1"
240 0.06996 "2" "1" "57" "S1"
241 0.01368 "2" "1" "57" "S1"
242 0.02577 "2" "1" "57" "S1"
243 0.00371 "2" "1" "58" "S1"
244 0.00499 "2" "1" "58" "S1"
245 0.01237 "2" "1" "58" "S1"
246 0.01465 "2" "1" "58" "S1"
247 0.06932 "2" "1" "59" "S1"
248 0.01745 "2" "1" "59" "S1"
249 0.05784 "2" "1" "63" "S1"
250 0.07108 "2" "1" "63" "S1"
251 0.02737 "2" "1" "64" "S1"
252 0.04694 "2" "1" "64" "S1"
253 0.02928 "3" "0" "1" "S1"
254 0.04417 "3" "0" "1" "S1"
255 0.06091 "3" "0" "1" "S1"
256 0.03620 "3" "0" "1" "S1"
257 0.06850 "3" "0" "1" "S1"
258 0.02228 "3" "0" "1" "S1"
259 0.02526 "3" "0" "2" "S1"
260 0.01368 "3" "0" "2" "S1"
261 0.00455 "3" "0" "3" "S1"
262 0.03632 "3" "0" "7" "S1"
263 0.03935 "3" "0" "7" "S1"
264 0.02320 "3" "0" "8" "S1"
265 0.04007 "3" "0" "8" "S1"
266 0.03762 "3" "0" "8" "S1"
267 0.01866 "3" "0" "8" "S1"
268 0.06832 "3" "0" "9" "S1"
269 0.03493 "3" "0" "9" "S1"
270 0.01807 "3" "0" "9" "S1"
271 0.00534 "3" "0" "9" "S1"
272 0.05215 "3" "0" "9" "S1"
273 0.03382 "3" "0" "9" "S1"
274 0.00524 "3" "0" "10" "S1"
275 0.03414 "3" "0" "10" "S1"
276 0.01849 "3" "0" "10" "S1"
277 0.00759 "3" "0" "10" "S1"
278 0.01152 "3" "0" "11" "S1"
279 0.01535 "3" "0" "11" "S1"
280 0.07955 "3" "0" "15" "S1"
281 0.05278 "3" "0" "15" "S1"
282 0.03436 "3" "0" "16" "S1"
283 0.01818 "3" "0" "16" "S1"
284 0.02959 "3" "0" "17" "S1"
285 0.01642 "3" "0" "17" "S1"
286 0.04569 "3" "0" "17" "S1"
287 0.07987 "3" "0" "17" "S1"
288 0.03453 "3" "0" "17" "S1"
289 0.03360 "3" "0" "17" "S1"
290 0.03085 "3" "0" "18" "S1"
291 0.05286 "3" "0" "18" "S1"
292 0.01062 "3" "0" "19" "S1"
293 0.01908 "3" "0" "19" "S1"
294 0.03495 "3" "0" "23" "S1"
295 0.04325 "3" "0" "23" "S1"
296 0.03359 "3" "0" "24" "S1"
297 0.02517 "3" "0" "24" "S1"
298 0.02449 "3" "0" "24" "S1"
299 0.01457 "3" "0" "24" "S1"
300 0.00773 "3" "0" "25" "S1"
301 0.04524 "3" "0" "25" "S1"
302 0.05828 "3" "0" "25" "S1"
303 0.00643 "3" "0" "25" "S1"
304 0.04669 "3" "0" "25" "S1"
305 0.01563 "3" "0" "25" "S1"
306 0.01753 "3" "0" "26" "S1"
307 0.03654 "3" "0" "26" "S1"
308 0.01436 "3" "0" "26" "S1"
309 0.02385 "3" "0" "26" "S1"
310 0.10320 "3" "0" "27" "S1"
311 0.03774 "3" "0" "27" "S1"
312 0.02087 "3" "0" "31" "S1"
313 0.02880 "3" "0" "31" "S1"
314 0.04726 "3" "0" "32" "S1"
315 0.06416 "3" "0" "32" "S1"
316 0.02159 "3" "0" "33" "S1"
317 0.03296 "3" "0" "33" "S1"
318 0.02297 "3" "0" "33" "S1"
319 0.03392 "3" "0" "33" "S1"
320 0.02750 "3" "0" "33" "S1"
321 0.01722 "3" "0" "33" "S1"
322 0.05159 "3" "0" "34" "S1"
323 0.03425 "3" "0" "34" "S1"
324 0.03192 "3" "0" "35" "S1"
325 0.02450 "3" "0" "35" "S1"
326 0.13153 "3" "0" "39" "S1"
327 0.07864 "3" "0" "39" "S1"
328 0.03478 "3" "0" "40" "S1"
329 0.08187 "3" "0" "40" "S1"
330 0.04710 "3" "0" "40" "S1"
331 0.01806 "3" "0" "40" "S1"
332 0.00522 "3" "0" "41" "S1"
333 0.06016 "3" "0" "41" "S1"
334 0.03036 "3" "0" "41" "S1"
335 0.01891 "3" "0" "41" "S1"
336 0.05186 "3" "0" "41" "S1"
337 0.01695 "3" "0" "41" "S1"
338 0.05996 "3" "0" "42" "S1"
339 0.03644 "3" "0" "42" "S1"
340 0.01088 "3" "0" "42" "S1"
341 0.00774 "3" "0" "42" "S1"
342 0.03380 "3" "0" "43" "S1"
343 0.02333 "3" "0" "43" "S1"
344 0.02513 "3" "0" "47" "S1"
345 0.04376 "3" "0" "47" "S1"
346 0.02434 "3" "0" "48" "S1"
347 0.04355 "3" "0" "48" "S1"
348 0.02494 "3" "0" "49" "S1"
349 0.02096 "3" "0" "49" "S1"
350 0.03577 "3" "0" "49" "S1"
351 0.01801 "3" "0" "49" "S1"
352 0.03082 "3" "0" "49" "S1"
353 0.00669 "3" "0" "49" "S1"
354 0.00517 "3" "0" "50" "S1"
355 0.02847 "3" "0" "50" "S1"
356 0.04913 "3" "0" "51" "S1"
357 0.04553 "3" "0" "51" "S1"
358 0.00915 "3" "0" "55" "S1"
359 0.06551 "3" "0" "55" "S1"
360 0.01892 "3" "0" "56" "S1"
361 0.00734 "3" "0" "56" "S1"
362 0.01956 "3" "0" "56" "S1"
363 0.01898 "3" "0" "56" "S1"
