"PDist" "Group" "Cond" "TB" "Subj"
199 0.01568 "1" "0" "40" "S1"
200 0.16531 "1" "0" "40" "S1"
201 0.06174 "1" "0" "40" "S1"
202 0.13708 "1" "0" "40" "S1"
203 0.00743 "1" "0" "41" "S1"
204 0.02291 "1" "0" "41" "S1"
205 0.03779 "1" "0" "41" "S1"
206 0.07355 "1" "0" "41" "S1"
207 0.02777 "1" "0" "41" "S1"
208 0.02326 "1" "0" "41" "S1"
209 0.05601 "1" "0" "42" "S1"
210 0.00674 "1" "0" "42" "S1"
211 0.04621 "1" "0" "42" "S1"
212 0.03011 "1" "0" "42" "S1"
213 0.11974 "1" "0" "43" "S1"
214 0.12234 "1" "0" "43" "S1"
215 0.10901 "1" "0" "47" "S1"
216 0.15317 "1" "0" "47" "S1"
217 0.04867 "1" "0" "48" "S1"
218 0.01234 "1" "0" "48" "S1"
219 0.02991 "1" "0" "49" "S1"
220 0.04242 "1" "0" "49" "S1"
221 0.05305 "1" "0" "49" "S1"
222 0.00877 "1" "0" "49" "S1"
223 0.00866 "1" "0" "49" "S1"
224 0.03081 "1" "0" "49" "S1"
225 0.01215 "1" "0" "50" "S1"
226 0.04115 "1" "0" "50" "S1"
227 0.01890 "1" "0" "51" "S1"
228 0.02544 "1" "0" "51" "S1"
229 0.06389 "1" "0" "55" "S1"
230 0.00895 "1" "0" "56" "S1"
231 0.02337 "1" "0" "56" "S1"
232 0.01741 "1" "0" "56" "S1"
233 0.13227 "1" "0" "56" "S1"
234 0.00709 "1" "0" "57" "S1"
235 0.04982 "1" "0" "57" "S1"
236 0.01900 "1" "0" "57" "S1"
237 0.00842 "1" "0" "57" "S1"
238 0.02863 "1" "0" "57" "S1"
239 0.02663 "1" "0" "57" "S1"
240 0.01347 "1" "0" "58" "S1"
241 0.03236 "1" "0" "58" "S1"
242 0.02965 "1" "0" "58" "S1"
243 0.01852 "1" "0" "58" "S1"
244 0.04555 "1" "0" "59" "S1"
245 0.01179 "1" "0" "59" "S1"
246 0.04961 "1" "0" "63" "S1"
247 0.11297 "1" "0" "63" "S1"
248 0.03572 "1" "0" "64" "S1"
249 0.04208 "1" "0" "64" "S1"
250 0.08403 "1" "1" "1" "S2"
251 0.16920 "1" "1" "1" "S2"
252 0.07577 "1" "1" "1" "S2"
253 0.08872 "1" "1" "1" "S2"
254 0.02007 "1" "1" "2" "S2"
255 0.01173 "1" "1" "2" "S2"
256 0.00981 "1" "1" "3" "S2"
257 0.05891 "1" "1" "3" "S2"
258 0.02441 "1" "1" "7" "S2"
259 0.03746 "1" "1" "7" "S2"
260 0.06591 "1" "1" "8" "S2"
261 0.02285 "1" "1" "8" "S2"
262 0.04499 "1" "1" "8" "S2"
263 0.04509 "1" "1" "8" "S2"
264 0.10112 "1" "1" "9" "S2"
265 0.09482 "1" "1" "9" "S2"
266 0.04799 "1" "1" "9" "S2"
267 0.11850 "1" "1" "9" "S2"
268 0.15960 "1" "1" "9" "S2"
269 0.10287 "1" "1" "9" "S2"
270 0.03992 "1" "1" "10" "S2"
271 0.04643 "1" "1" "10" "S2"
272 0.03521 "1" "1" "10" "S2"
273 0.03909 "1" "1" "10" "S2"
274 0.05853 "1" "1" "11" "S2"
275 0.06687 "1" "1" "11" "S2"
276 0.12427 "1" "1" "15" "S2"
277 0.07773 "1" "1" "15" "S2"
278 0.01923 "1" "1" "16" "S2"
279 0.04015 "1" "1" "16" "S2"
280 0.03070 "1" "1" "17" "S2"
281 0.11921 "1" "1" "17" "S2"
