Lat Vpeak Err Block Subj Trial
417 372.000 0.572 1.210 1 5 27
418 310.000 0.577 0.950 1 5 28
419 411.000 0.736 1.054 1 5 29
420 349.000 0.592 0.840 1 5 30
421 326.000 0.666 0.150 1 5 31
422 426.000 0.585 0.557 1 5 32
423 341.000 0.645 0.306 1 5 33
424 295.000 0.669 1.587 1 5 34
425 411.000 0.668 0.610 1 5 35
426 388.000 0.603 0.458 1 5 36
427 588.000 0.649 1.239 1 5 37
428 957.000 0.778 0.613 1 5 38
429 588.000 0.592 0.855 1 5 39
430 487.000 0.708 1.191 1 5 40
431 357.000 0.562 0.734 1 5 41
432 441.000 0.604 0.445 1 5 42
433 319.000 0.538 0.701 1 5 43
434 425.000 0.686 0.268 1 5 44
435 333.000 0.600 1.156 1 5 45
436 388.000 0.563 0.542 1 5 46
437 349.000 0.799 1.016 1 5 47
438 326.000 0.636 0.704 1 5 48
439 326.000 0.715 1.447 1 5 49
440 318.000 0.568 0.805 1 5 50
441 349.000 0.573 0.282 1 5 51
442 296.000 0.545 0.861 1 5 52
443 442.000 0.616 1.063 1 5 53
444 395.000 0.700 0.901 1 5 54
445 371.000 0.623 0.540 1 5 55
446 364.000 0.564 0.789 1 5 56
447 310.000 0.704 0.624 1 5 57
448 379.000 0.639 0.969 1 5 58
449 356.000 0.649 0.762 1 5 59
450 425.000 0.623 1.105 1 5 60
451 341.000 0.785 3.289 2 5 71
452 295.000 0.785 1.307 2 5 72
453 357.000 0.600 0.151 2 5 73
454 303.000 0.830 3.214 2 5 74
455 287.000 0.714 0.441 2 5 75
456 249.000 0.570 2.695 2 5 76
457 296.000 0.616 0.681 2 5 77
458 325.000 0.614 1.657 2 5 78
459 295.000 0.543 1.864 2 5 79
460 294.000 0.519 0.834 2 5 80
461 334.000 0.619 1.037 2 5 81
462 264.000 0.554 0.672 2 5 82
463 287.000 0.741 0.362 2 5 83
464 334.000 0.546 1.714 2 5 84
465 325.000 0.601 0.281 2 5 85
466 372.000 0.636 0.278 2 5 86
467 319.000 0.738 0.452 2 5 87
468 341.000 0.563 0.393 2 5 88
469 364.000 0.661 1.224 2 5 89
470 303.000 0.599 1.660 2 5 90
471 317.000 0.657 0.549 2 5 91
472 410.000 0.626 0.642 2 5 92
473 357.000 0.616 1.075 2 5 93
474 287.000 0.646 0.294 2 5 94
475 356.000 0.617 0.280 2 5 95
476 486.000 0.509 0.216 2 5 96
477 302.000 0.579 1.072 2 5 97
478 317.000 0.589 0.409 2 5 98
479 365.000 0.772 0.610 2 5 99
480 395.000 0.715 1.858 2 5 100
481 388.000 0.755 1.428 2 5 101
482 349.000 0.595 0.940 2 5 102
483 387.000 0.607 0.462 2 5 103
484 403.000 0.634 0.994 2 5 104
485 410.000 0.611 0.694 2 5 105
486 349.000 0.700 0.988 2 5 106
487 304.000 0.616 1.687 2 5 107
488 333.000 0.645 0.670 2 5 108
489 280.000 0.734 0.422 2 5 109
490 425.000 0.664 1.505 2 5 110
491 342.000 0.697 2.157 2 5 111
492 295.000 0.516 0.897 2 5 112
493 364.000 0.580 0.268 2 5 113
494 295.000 0.592 0.642 2 5 114
495 326.000 0.814 1.363 2 5 115
