Lat Vpeak Err Block Subj Trial
220 218.000 0.515 2.157 1 3 30
221 272.000 0.587 0.586 1 3 31
222 273.000 0.530 0.227 1 3 32
223 279.000 0.651 1.626 1 3 33
224 295.000 0.541 1.357 1 3 34
225 280.000 0.551 0.362 1 3 35
226 257.000 0.453 0.331 1 3 36
227 257.000 0.676 0.718 1 3 37
228 295.000 0.613 0.425 1 3 38
229 264.000 0.593 0.956 1 3 39
230 256.000 0.709 1.914 1 3 40
231 234.000 0.678 2.255 1 3 41
232 265.000 0.585 0.786 1 3 42
233 272.000 0.537 0.544 1 3 43
234 279.000 0.611 0.775 1 3 44
235 241.000 0.633 0.203 1 3 45
236 317.000 0.727 0.633 1 3 46
237 234.000 0.558 0.937 1 3 47
238 256.000 0.562 0.738 1 3 48
239 256.000 0.648 0.951 1 3 49
240 279.000 0.548 0.720 1 3 50
241 311.000 0.421 0.413 1 3 51
242 295.000 0.562 0.508 1 3 52
243 272.000 0.550 1.110 1 3 53
244 249.000 0.633 0.151 1 3 54
245 258.000 0.600 1.151 1 3 55
246 279.000 0.567 0.872 1 3 56
247 264.000 0.565 0.886 1 3 57
248 264.000 0.599 1.643 1 3 58
249 241.000 0.603 0.587 1 3 59
250 279.000 0.642 0.431 1 3 60
251 310.000 0.589 1.360 2 3 71
252 288.000 0.649 0.959 2 3 72
253 280.000 0.502 1.194 2 3 73
254 302.000 0.604 0.702 2 3 74
255 310.000 0.550 0.055 2 3 75
256 287.000 0.581 1.036 2 3 76
257 272.000 0.493 1.420 2 3 77
258 264.000 0.615 0.844 2 3 78
259 302.000 0.619 0.436 2 3 79
260 279.000 0.363 0.555 2 3 80
261 326.000 0.618 1.131 2 3 81
262 271.000 0.585 0.740 2 3 82
263 310.000 0.595 0.610 2 3 83
264 303.000 0.592 1.192 2 3 84
265 264.000 0.509 0.569 2 3 85
266 318.000 0.681 1.022 2 3 86
267 409.000 0.634 0.679 2 3 87
268 295.000 0.523 1.359 2 3 88
269 295.000 0.617 0.367 2 3 89
270 310.000 0.602 1.876 2 3 90
271 241.000 0.481 0.449 2 3 91
272 295.000 0.575 0.373 2 3 92
273 295.000 0.481 0.688 2 3 93
274 481.000 0.668 1.145 2 3 94
275 295.000 0.647 1.295 2 3 95
276 311.000 0.591 0.593 2 3 96
277 286.000 0.386 0.231 2 3 97
278 325.000 0.611 1.801 2 3 98
279 481.000 0.654 0.769 2 3 99
280 318.000 0.600 1.081 2 3 100
281 272.000 0.484 1.195 2 3 101
282 310.000 0.655 0.910 2 3 102
283 257.000 0.552 1.105 2 3 103
284 495.000 0.518 0.883 2 3 104
285 287.000 0.645 0.267 2 3 105
286 388.000 0.569 0.799 2 3 106
287 287.000 0.637 0.455 2 3 107
288 257.000 0.578 1.229 2 3 108
289 456.000 0.371 0.521 2 3 109
290 295.000 0.554 1.453 2 3 110
291 311.000 0.527 1.107 2 3 111
292 288.000 0.572 1.176 2 3 112
293 334.000 0.543 0.930 2 3 113
294 272.000 0.514 0.769 2 3 114
295 387.000 0.532 0.961 2 3 115
296 264.000 0.582 0.943 2 3 116
297 295.000 0.668 1.197 2 3 117
298 326.000 0.666 3.033 2 3 118
299 302.000 0.568 0.469 2 3 119
300 333.000 0.620 1.424 2 3 120
301 379.000 0.679 3.179 1 4 11
302 434.000 0.502 0.800 1 4 12
303 564.000 0.566 1.496 1 4 13
304 325.000 0.498 2.004 1 4 14
305 311.000 0.435 0.663 1 4 15
306 379.000 0.488 0.670 1 4 16
307 387.000 0.417 0.587 1 4 17
308 373.000 0.455 0.482 1 4 18
309 295.000 0.520 0.749 1 4 19
310 279.000 0.417 0.960 1 4 20
311 371.000 0.453 1.025 1 4 21
312 373.000 0.598 0.518 1 4 22
313 318.000 0.625 2.723 1 4 23
314 303.000 0.507 0.648 1 4 24
315 357.000 0.455 1.237 1 4 25
316 327.000 0.425 1.123 1 4 26
317 288.000 0.452 1.569 1 4 27
318 287.000 0.433 1.696 1 4 28
319 325.000 0.397 0.315 1 4 29
320 326.000 0.462 0.203 1 4 30
321 326.000 0.499 0.880 1 4 31
322 349.000 0.395 1.501 1 4 32
323 364.000 0.608 1.244 1 4 33
324 319.000 0.583 1.219 1 4 34
325 340.000 0.580 0.900 1 4 35
326 287.000 0.685 2.995 1 4 36
327 302.000 0.599 1.345 1 4 37
328 365.000 0.446 0.864 1 4 38
329 356.000 0.494 2.998 1 4 39
330 387.000 0.371 0.685 1 4 40
331 311.000 0.513 0.971 1 4 41
332 342.000 0.455 0.366 1 4 42
333 387.000 0.444 1.305 1 4 43
334 341.000 0.414 2.723 1 4 44
335 341.000 0.577 2.199 1 4 45
336 303.000 0.489 0.780 1 4 46
337 387.000 0.492 0.874 1 4 47
338 264.000 0.500 0.552 1 4 48
339 442.000 0.472 0.212 1 4 49
340 318.000 0.550 0.869 1 4 50
341 448.000 0.476 1.565 1 4 51
342 357.000 0.507 1.497 1 4 52
343 372.000 0.483 1.854 1 4 53
344 356.000 0.483 1.028 1 4 54
345 318.000 0.369 0.251 1 4 55
346 303.000 0.435 0.168 1 4 56
347 379.000 0.466 1.305 1 4 57
348 557.000 0.503 1.137 1 4 58
349 303.000 0.463 1.392 1 4 59
350 412.000 0.456 0.608 1 4 60
351 411.000 0.541 0.743 2 4 71
352 433.000 0.516 0.743 2 4 72
353 379.000 0.647 2.767 2 4 73
354 325.000 0.498 1.236 2 4 74
355 325.000 0.463 0.752 2 4 75
356 348.000 0.550 0.681 2 4 76
357 426.000 0.511 0.460 2 4 77
358 395.000 0.551 1.442 2 4 78
359 357.000 0.545 1.681 2 4 79
360 387.000 0.636 1.642 2 4 80
361 379.000 0.554 1.137 2 4 81
362 418.000 0.505 0.989 2 4 82
363 403.000 0.442 2.712 2 4 83
364 302.000 0.535 1.287 2 4 84
365 426.000 0.533 0.985 2 4 85
366 364.000 0.542 2.107 2 4 86
367 448.000 0.404 1.309 2 4 87
368 302.000 0.451 1.589 2 4 88
369 372.000 0.539 1.174 2 4 89
370 350.000 0.650 1.766 2 4 90
371 287.000 0.595 1.284 2 4 91
372 287.000 0.454 1.595 2 4 92
373 417.000 0.620 0.603 2 4 93
374 434.000 0.563 1.108 2 4 94
375 333.000 0.576 2.066 2 4 95
376 310.000 0.493 1.321 2 4 96
377 403.000 0.508 1.061 2 4 97
378 334.000 0.646 0.421 2 4 98
379 372.000 0.552 0.436 2 4 99
380 349.000 0.510 2.182 2 4 100
381 326.000 0.559 0.898 2 4 101
382 364.000 0.554 2.520 2 4 102
383 310.000 0.487 1.684 2 4 103
384 434.000 0.479 0.963 2 4 104
385 380.000 0.573 2.413 2 4 105
386 372.000 0.424 1.036 2 4 106
387 394.000 0.573 0.189 2 4 107
388 449.000 0.544 3.404 2 4 108
389 425.000 0.494 1.196 2 4 109
390 302.000 0.484 0.487 2 4 110
391 364.000 0.425 0.575 2 4 111
392 280.000 0.457 1.134 2 4 112
393 295.000 0.449 1.427 2 4 113
394 319.000 0.465 0.437 2 4 114
395 418.000 0.417 1.408 2 4 115
396 356.000 0.550 0.712 2 4 116
397 395.000 0.495 0.561 2 4 117
398 348.000 0.498 0.427 2 4 118
399 295.000 0.544 0.671 2 4 119
400 303.000 0.570 1.001 2 4 120
401 288.000 0.595 1.417 1 5 11
402 288.000 0.544 0.970 1 5 12
403 256.000 0.542 0.441 1 5 13
404 280.000 0.560 2.947 1 5 14
405 319.000 0.530 1.623 1 5 15
406 294.000 0.607 1.175 1 5 16
407 257.000 0.479 3.348 1 5 17
408 303.000 0.546 4.410 1 5 18
409 265.000 0.474 0.566 1 5 19
410 280.000 0.427 0.758 1 5 20
411 248.000 0.655 0.885 1 5 21
412 257.000 0.590 1.680 1 5 22
413 233.000 0.587 2.922 1 5 23
414 242.000 0.599 1.735 1 5 24
415 264.000 0.712 0.537 1 5 25
416 256.000 0.641 0.728 1 5 26
417 280.000 0.670 0.257 1 5 27
418 241.000 0.591 0.663 1 5 28
419 248.000 0.544 2.214 1 5 29
420 248.000 0.674 0.915 1 5 30
421 250.000 0.543 1.121 1 5 31
422 248.000 0.618 1.100 1 5 32
423 272.000 0.627 0.801 1 5 33
424 271.000 0.531 1.604 1 5 34
425 295.000 0.557 1.569 1 5 35
426 272.000 0.630 0.331 1 5 36
427 264.000 0.579 0.114 1 5 37
428 256.000 0.460 0.229 1 5 38
429 295.000 0.571 0.468 1 5 39
430 242.000 0.571 1.424 1 5 40
431 249.000 0.416 1.237 1 5 41
432 280.000 0.471 0.668 1 5 42
433 273.000 0.551 1.330 1 5 43
434 286.000 0.605 0.800 1 5 44
435 235.000 0.514 0.621 1 5 45
436 273.000 0.532 1.771 1 5 46
437 249.000 0.590 0.856 1 5 47
438 255.000 0.501 0.076 1 5 48
439 295.000 0.556 2.234 1 5 49
440 280.000 0.611 2.297 1 5 50
441 240.000 0.562 1.201 1 5 51
442 264.000 0.586 2.069 1 5 52
443 256.000 0.589 1.039 1 5 53
444 272.000 0.599 0.938 1 5 54
445 272.000 0.576 2.724 1 5 55
446 279.000 0.566 1.257 1 5 56
447 257.000 0.647 0.471 1 5 57
448 318.000 0.630 1.122 1 5 58
449 240.000 0.538 0.872 1 5 59
450 287.000 0.535 0.646 1 5 60
451 287.000 0.619 0.396 2 5 71
452 264.000 0.471 2.087 2 5 72
453 342.000 0.594 1.301 2 5 73
454 287.000 0.520 1.959 2 5 74
455 218.000 0.570 1.069 2 5 75
456 273.000 0.575 0.542 2 5 76
457 249.000 0.677 1.384 2 5 77
458 303.000 0.625 0.671 2 5 78
459 242.000 0.546 1.332 2 5 79
460 287.000 0.614 0.219 2 5 80
461 334.000 0.532 0.353 2 5 81
462 310.000 0.574 0.808 2 5 82
463 240.000 0.643 0.443 2 5 83
464 257.000 0.624 0.217 2 5 84
465 320.000 0.573 1.662 2 5 85
466 318.000 0.544 0.294 2 5 86
467 265.000 0.508 0.400 2 5 87
468 233.000 0.512 1.509 2 5 88
469 256.000 0.569 0.898 2 5 89
470 257.000 0.555 0.891 2 5 90
471 257.000 0.575 0.529 2 5 91
472 286.000 0.546 1.973 2 5 92
473 271.000 0.568 0.088 2 5 93
474 295.000 0.547 0.517 2 5 94
475 249.000 0.527 1.720 2 5 95
476 226.000 0.592 0.313 2 5 96
477 272.000 0.568 1.595 2 5 97
478 273.000 0.641 1.271 2 5 98
479 248.000 0.456 0.288 2 5 99
480 302.000 0.587 0.450 2 5 100
481 295.000 0.627 2.497 2 5 101
482 264.000 0.469 0.266 2 5 102
